model,provider,prompt_id,run_id,rank,title,authors,year,venue,claimed_affiliation
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,4,Semantic image mosaicking via depth fusion and feature blending,"[""Jinfeng Liu"", ""Aseem Rastogi"", ""Sung Wah Ng""]",2016,CVPR,University of Southern California
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,5,Single image place and outfit recognition via joint c3d and crn networks,"[""Wangzi Guo"", ""Shengyu Liu""]",2016,CVPR,Dartmouth College
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,6,Recurrent and dilated convolutional autoencoder for depth estimation from RGB sequences,"[""Xiaohui Ma"", ""Yang Liu""]",2017,CVPR,Tsinghua University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,7,Semantic image segmentation with depth supervision via a joint autoencoder model,"[""Xiang Chen"", ""Hongteng Hu""]",2018,CVPR,University of Texas at Austin
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,8,Real-time dense alignment with a single stereo camera using a multi-level convolutional network,"[""Zihan Liu"", ""Yujie Ma""]",2014,CVPR,Peking University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,9,3D human parsing using a multi-stage 3D convolutional neural network with depth supervision,"[""Chenzheng Shao"", ""Yan Liu""]",2018,CVPR,Peking University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,10,Facial expression recognition by deep neural networks and a bagging classifier,"[""C. Chen"", ""Y. Liu""]",2018,CVPR,University of Texas at Austin
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,11,Deep semantic embedding and bag-of-trace similarity for trajectory similarity matching on the graph,"[""Wen G. Wang"", ""Xinchen Liu"", ""Hao Liang""]",2019,CVPR,Peking University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,12,Adversarial learning for visual feature representation and recognition,"[""Haigang Luo"", ""Tianbao Yang"", ""Jingdong Xie""]",2016,CVPR,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,13,Learning to render a person sitting from front by cross-view texture alignment,"[""Kai Zhang"", ""Xinchen Liu""]",2019,CVPR,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,14,Deep multi-source video fusion for indoor scene segmentation using convolutional and recurrent neural networks,"[""Yufan Zhu"", ""Rui Li""]",2017,CVPR,Tsinghua University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s4,15,Efficient cross-view texture alignment for single-view 3D facial shape estimation from one frontal face image and a side profile view image,"[""Kai Zhang"", ""Xinchen Liu""]",2018,CVPR,Microsoft Research Asia
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,1,SVM+ for Visual Object Recognition: A Case Study on Flicker30K,"[""Bo Chen-Yan Lee"", ""Ziming Liu"", ""Walter Scheirer""]",2012,ICIP,"Max-Planck-Institut fuer Informatik, Saarbruecken, Germany"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,2,Boosting the Recognition of Generic Articulated Objects,"[""Michael J. Blacker"", ""Richard Szeliski""]",1997,CVPR,Microsoft
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,3,Object Recognition with Intrinsic Ordering of Parts: An Axiomatic Approach,"[""Nuno Vasconcelos"", ""Ravi Natarajan""]",1998,ICCV,Microsoft Research
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,4,Human Pose Estimation from Clothed Images: a New Benchmark,"[""Alexa, Mark"", ""Cipolla, Roberto""]",2015,CVPR,Duke University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,5,The Recognition Illusion in Face Verification: Why and How to Overcome It - A Detailed Case Study on FERET Face Database,"[""Mirella Lapata"", ""Alistair McCallum""]",2004,CVPR Workshop,"University College London, UK"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,6,Object Recognition in the Wild: Benchmarking Image Retrieval Methods on CIFAR and Imagenet,"[""Hamed Sabri"", ""Emanuele Artusi""]",2015,CVPR,University of Oxford
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,7,Learning Features from Human Visual Cues,"[""Sharan Rao"", ""Sergio Escalona-Serra""]",2016,CVPR,Radboud University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,8,Efficient Image Recognition through Hierarchical Features Learning and Memory Optimization of a Deep Network,"[""Krzysztof Opalka"", ""Eran Hildreth""]",2014,CVPR,MIT
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,9,Unsupervised Visual Feature Learning through Clustering and Association in Deep Neural Networks,"[""Dmitriy M. Chistov"", ""Sergio Escalona-Serra""]",2016,CVPR,"Radboud University, Nijmegen"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,10,An Atlas of Human Gait Recognition,"[""Dmitriy M. Chistov"", ""Sergio Escalona-Serra""]",2013,CVPR Workshop,"Radboud University, Nijmegen"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,11,Visual Search on Google Images,"[""Jeff Heisler"", ""Luis Sequeira""]",2016,CVPR Workshop,Purdue University
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,12,Simplified LBP: A Robust Structural Light Blob Detector for 3D Shape Analysis,"[""Cheng Soon Ng"", ""Babak Falsafi""]",2007,ICIP,"Aalto University, Finland"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,13,An Image is Worth 16x16 Words: Efficient Representation of Deep Features in Subspace by Visual Word Bagging for Visual Search,"[""Babak Falsafi"", ""Cheng Soon Ng""]",2010,CVPR,"Aalto University, Finland"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,14,Learning to Visualize: A Dataset for Learning Supervised Dimensionality Reduction in Image Search,"[""Babak Falsafi"", ""Cheng Soon Ng""]",2015,CVPR Workshop,"Aalto University, Finland"
qwen2.5:3b,ollama,VIS_PAPERS,imp01-s5,15,Visual Dictionary Learning and Recognition via Efficient Sparse Coding,"[""Yao Wang"", ""Cheng Soon Ng""]",2016,CVPR Workshop,"Aalto University, Finland"
